Subject,Trial,Angle,Time,Correct,Age,Sex
40,46,100,3255,1,21,F
40,47,0,1095,1,21,F
40,48,50,3656,1,21,F
40,49,100,2982,1,21,F
40,50,150,2381,1,21,F
40,51,0,1351,1,21,F
40,52,0,4494,1,21,F
40,53,100,3108,1,21,F
40,54,50,1367,1,21,F
40,55,150,6816,0,21,F
40,56,50,2273,1,21,F
40,57,150,2385,1,21,F
40,58,100,2056,1,21,F
40,59,150,2741,1,21,F
40,60,100,3555,1,21,F
40,61,0,1213,1,21,F
40,62,0,1193,1,21,F
40,63,50,2308,1,21,F
40,64,50,2319,1,21,F
40,65,150,5089,1,21,F
40,66,0,1983,1,21,F
40,67,150,3050,1,21,F
40,68,0,1251,1,21,F
40,69,50,3149,1,21,F
40,70,50,1792,1,21,F
40,71,100,2465,1,21,F
40,74,100,3259,1,21,F
40,75,150,3634,1,21,F
40,76,0,2987,1,21,F
40,77,0,2618,1,21,F
40,78,50,3796,0,21,F
40,79,50,3749,1,21,F
40,80,150,3219,1,21,F
40,81,50,3735,1,21,F
40,82,0,1034,1,21,F
40,83,150,5456,1,21,F
40,84,50,5269,1,21,F
40,85,100,2335,1,21,F
40,86,0,2038,1,21,F
40,87,150,3111,0,21,F
40,88,100,1800,1,21,F
40,89,100,2281,1,21,F
40,90,50,1685,1,21,F
40,91,0,989,1,21,F
40,92,150,6498,0,21,F
40,93,150,3983,1,21,F
40,94,50,4361,1,21,F
40,95,100,1650,1,21,F
40,96,0,1970,1,21,F
24,1,0,2443,1,25,F
24,2,150,5888,1,25,F
24,3,150,3670,1,25,F
24,4,100,4012,0,25,F
24,5,50,2902,1,25,F
24,6,50,3120,1,25,F
24,7,100,5431,1,25,F
24,8,0,1226,1,25,F
24,9,150,5480,1,25,F
24,10,150,4745,1,25,F
24,11,50,4690,1,25,F
24,12,0,2772,1,25,F
24,13,0,1265,1,25,F
24,14,100,2392,1,25,F
24,15,100,4716,1,25,F
24,16,50,3418,1,25,F
24,17,100,2654,1,25,F
24,18,150,2112,1,25,F
24,19,50,2702,1,25,F
24,20,50,1637,1,25,F
24,21,100,2109,1,25,F
24,22,0,884,0,25,F
24,23,0,1795,1,25,F
24,24,150,4023,1,25,F
24,25,150,5980,1,25,F
24,26,50,2026,1,25,F
24,27,50,3076,1,25,F
24,28,100,3157,1,25,F
24,29,0,1617,1,25,F
24,30,0,2367,1,25,F
24,33,50,2687,0,25,F
24,34,100,4855,1,25,F
24,35,150,2719,0,25,F
24,36,0,1253,1,25,F
24,37,100,2855,1,25,F
24,38,150,4301,1,25,F
24,39,0,1565,1,25,F
24,40,50,1128,1,25,F
24,41,150,4087,1,25,F
24,42,0,1191,1,25,F
24,43,100,2115,1,25,F
24,44,150,2101,0,25,F
24,45,50,1218,1,25,F
24,46,100,1599,0,25,F
24,47,0,1632,1,25,F
24,48,50,2747,1,25,F
24,49,100,2427,1,25,F
24,50,150,2595,1,25,F
24,51,0,2486,1,25,F
24,52,0,2602,1,25,F
24,53,100,3139,1,25,F
24,54,50,1513,1,25,F
24,55,150,4106,1,25,F
24,56,50,1815,1,25,F
24,57,150,2761,1,25,F
24,58,100,2637,1,25,F
24,59,150,1784,1,25,F
24,60,100,2227,1,25,F
24,61,0,1338,1,25,F
24,62,0,1145,1,25,F
24,63,50,1854,1,25,F
24,64,50,1862,1,25,F
24,65,150,2316,0,25,F
24,66,0,1268,1,25,F
24,67,150,2322,1,25,F
24,68,0,1377,1,25,F
24,69,50,1748,1,25,F
24,70,50,1542,1,25,F
24,71,100,1460,1,25,F
24,72,100,2511,1,25,F
24,73,100,1409,1,25,F
24,74,100,2863,1,25,F
24,75,150,2104,1,25,F
24,76,0,2637,1,25,F
24,77,0,1727,1,25,F
24,78,50,1292,0,25,F
24,79,50,1260,1,25,F
24,80,150,1411,0,25,F
24,81,50,2582,0,25,F
24,82,0,1033,1,25,F
24,83,150,3028,1,25,F
24,84,50,2307,0,25,F
24,85,100,2191,1,25,F
24,86,0,2083,1,25,F
24,87,150,2745,1,25,F
24,88,100,2784,1,25,F
24,89,100,1781,1,25,F
24,90,50,1850,1,25,F
24,91,0,1140,1,25,F
24,92,150,1949,1,25,F
24,93,150,2432,1,25,F
24,94,50,1777,1,25,F
24,95,100,1287,1,25,F
24,96,0,3197,1,25,F
11,1,0,2924,1,21,M
11,2,150,3631,1,21,M
11,3,150,2993,1,21,M
11,4,100,6246,1,21,M
11,5,50,2941,1,21,M
11,6,50,2402,1,21,M
11,7,100,3120,1,21,M
11,8,0,1363,1,21,M
11,9,150,4430,1,21,M
11,10,150,5892,1,21,M
11,11,50,4427,1,21,M
11,12,0,1822,1,21,M
11,13,0,1334,1,21,M
11,14,100,3820,1,21,M
